"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.03.2025","20.3834","20.3960","20.4239","20.3756","","0.18%"
"28.03.2025","20.3460","20.3085","20.4688","20.2668","","0.24%"
"27.03.2025","20.2970","20.1112","20.3745","20.0992","","0.98%"
"26.03.2025","20.1003","20.0525","20.1725","20.0365","","0.27%"
"25.03.2025","20.0460","20.0390","20.1275","19.9563","","0.11%"
"24.03.2025","20.0240","20.2410","20.2476","20.0269","","-0.98%"
"21.03.2025","20.2230","20.1500","20.2815","20.1344","","0.45%"
"20.03.2025","20.1330","20.0700","20.2725","20.0223","","0.32%"
"19.03.2025","20.0690","19.9335","20.0979","19.8993","","0.84%"
"18.03.2025","19.9020","19.9430","20.1007","19.9072","","-0.13%"
"17.03.2025","19.9270","19.9400","19.9733","19.8655","","0.07%"
"14.03.2025","19.9130","20.0836","20.1285","19.8457","","-0.83%"
"13.03.2025","20.0798","20.1915","20.2045","20.0591","","-0.46%"
"12.03.2025","20.1730","20.2642","20.3125","20.1550","","-0.43%"
"11.03.2025","20.2606","20.3585","20.4090","20.2450","","-0.45%"
"10.03.2025","20.3532","20.2552","20.4010","20.1756","","0.58%"
"07.03.2025","20.2360","20.2910","20.3410","20.2285","","-0.21%"
"06.03.2025","20.2780","20.4160","20.5080","20.2103","","-0.65%"
"05.03.2025","20.4110","20.6130","20.6735","20.3437","","-0.85%"
"04.03.2025","20.5860","20.7000","21.0035","20.4647","","-0.48%"
"03.03.2025","20.6860","20.5265","20.7505","20.3722","","0.75%"
